<DIMENSION> 31
<VEHICLE_CAPACITY>	100
<NUMBER_OF_VEHICLES>	22
<TIME_HORIZON>	1335
<VERTICES> XCOORD - YCOORD - DEMAND - OPENING_TW - CLOSING_TW - SERVICE_TIME - RELEASE DATE </VERTICES>
40	50	 0	 0	 0	 0	 0
45	68	 0	 0	 0	 0	0
45	70	 0	 0	 0	 0	96
42	66	 0	 0	 0	 0	125
42	68	 0	 0	 0	 0	122
42	65	 0	 0	 0	 0	94
40	69	 0	 0	 0	 0	317
40	66	 0	 0	 0	 0	238
38	68	 0	 0	 0	 0	316
38	70	 0	 0	 0	 0	366
35	66	 0	 0	 0	 0	163
35	69	 0	 0	 0	 0	72
25	85	 0	 0	 0	 0	379
22	75	 0	 0	 0	 0	27
22	85	 0	 0	 0	 0	230
20	80	 0	 0	 0	 0	290
20	85	 0	 0	 0	 0	32
18	75	 0	 0	 0	 0	321
15	75	 0	 0	 0	 0	215
15	80	 0	 0	 0	 0	114
30	50	 0	 0	 0	 0	265
30	52	 0	 0	 0	 0	302
28	52	 0	 0	 0	 0	172
28	55	 0	 0	 0	 0	15
25	50	 0	 0	 0	 0	190
25	52	 0	 0	 0	 0	396
25	55	 0	 0	 0	 0	23
23	52	 0	 0	 0	 0	367
23	55	 0	 0	 0	 0	254
20	50	 0	 0	 0	 0	93
20	55	 0	 0	 0	 0	375
